StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,party_id,lean_party,d_prim_vote,d_free_resp,r_prim_vote,r_free_resp,d_loss,d_win,control,r_loss,r_win,therms_1,therms_2,therms_3,satisfied_democracy,trust_gov,r_gen_vote_loss,r_gen_vote_win_con,d_gen_vote_loss,d_gen_vote_win_con,debrief,comments,DeviceIdentifier,group,abortion_a,abortion_b,r_clim_a,r_clim_b,green_deal_a,marital_status_a,marital_status_b,green_deal_b,mar_legalize_a,mar_legalize_b,r_police_a,r_police_b,d_police_a,d_police_b,jobs_a,jobs_b,d_names_a,d_names_b,r_names_b,r_names_a,d_tax_b,r_tax_a,r_tax_b,d_tax_a,party_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent, or what?",Do you consider yourself closer to the Democratic or Republican party?,"If this election were held today, which candidate would you vote for?",Please write a sentence or two explaining why you chose your candidate over the other.,"If this election were held today, which candidate would you vote for?",Please write a sentence or two explaining why you chose your candidate over the other.,"Unfortunately, your selected candidate candidate, [QID19-ChoiceGroup-SelectedChoices], lost the Democratic Party Primary. 

Your candidate's opponent, [QID19-ChoiceGroup-UnselectedChoices] will represent the Democratic Party in the General Election.","Congratulations! Your selected candidate, [QID19-ChoiceGroup-SelectedChoices], won the Democratic Party primary. 

[QID19-ChoiceGroup-SelectedChoices] will represent the Democratic Party in the General Election.",Thank you for your selection. Please continue with the survey.,"Unfortunately, your selected candidate, [QID22-ChoiceGroup-SelectedChoices], lost the [QID1-ChoiceGroup-SelectedChoices] Party primary. 

Your candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices] will represent the Republican Party in the General Election.","Congratulations! Your selected candidate, [QID22-ChoiceGroup-SelectedChoices], won the Republican Party primary. 

Your candidate, [QID22-ChoiceGroup-SelectedChoices], will represent the Republican Party in the General Election.","Please rate the following groups on a scale from 0-100. 

Higher numbers indicate that you feel warm and favorably towards the group and lower numbers indicate that you feel cold and unfavorably towards the group. - Democratic Party","Please rate the following groups on a scale from 0-100. 

Higher numbers indicate that you feel warm and favorably towards the group and lower numbers indicate that you feel cold and unfavorably towards the group. - Republican Party","Please rate the following groups on a scale from 0-100. 

Higher numbers indicate that you feel warm and favorably towards the group and lower numbers indicate that you feel cold and unfavorably towards the group. - Political Independents","On the whole, are you satisfied, fairly satisfied, not very
satisfied, or not at all satisfied with the way democracy works
in the United States?","How much do you trust the government in
Washington to do what is right?","Think back to the two candidates you reviewed. If the general election were held today, how likely would you be to vote for your preferred candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices]?","Think back to the two candidates you reviewed. If the general election were held today, how likely would you be to vote for your preferred candidate, [QID22-ChoiceGroup-SelectedChoices]?","Think back to the two candidates you reviewed. If the general election were held today, how likely would you be to vote for your preferred candidate's opponent, [QID19-ChoiceGroup-UnselectedChoices]?","Think back to the two candidates you reviewed. If the general election were held today, how likely would you be to vote for your candidate, [QID19-ChoiceGroup-SelectedChoices]?","The candidate names used in this survey were real, however information about the candidates' backgrounds and positions was  made-up and does not necessarily represent the actual positions, preferences, or history of the candidates.",Please leave any comments you may have in the box below.,DeviceIdentifier,group,abortion_a,abortion_b,r_clim_a,r_clim_b,green_deal_a,marital_status_a,marital_status_b,green_deal_b,mar_legalize_a,mar_legalize_b,r_police_a,r_police_b,d_police_a,d_police_b,jobs_a,jobs_b,d_names_a,d_names_b,r_names_b,r_names_a,d_tax_b,r_tax_a,r_tax_b,d_tax_a,party_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID19""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID20""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID34""}","{""ImportId"":""QID23""}","{""ImportId"":""QID33""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""DeviceIdentifier""}","{""ImportId"":""group""}","{""ImportId"":""abortion_a""}","{""ImportId"":""abortion_b""}","{""ImportId"":""r_clim_a""}","{""ImportId"":""r_clim_b""}","{""ImportId"":""green_deal_a""}","{""ImportId"":""marital_status_a""}","{""ImportId"":""marital_status_b""}","{""ImportId"":""green_deal_b""}","{""ImportId"":""mar_legalize_a""}","{""ImportId"":""mar_legalize_b""}","{""ImportId"":""r_police_a""}","{""ImportId"":""r_police_b""}","{""ImportId"":""d_police_a""}","{""ImportId"":""d_police_b""}","{""ImportId"":""jobs_a""}","{""ImportId"":""jobs_b""}","{""ImportId"":""d_names_a""}","{""ImportId"":""d_names_b""}","{""ImportId"":""r_names_b""}","{""ImportId"":""r_names_a""}","{""ImportId"":""d_tax_b""}","{""ImportId"":""r_tax_a""}","{""ImportId"":""r_tax_b""}","{""ImportId"":""d_tax_a""}","{""ImportId"":""party_id""}"
2021-05-12 13:52:31,2021-05-12 13:52:40,Survey Preview,,100,8,True,2021-05-12 13:52:41,R_1cSyWiImZG6v1Oi,,,,,30.427398681640625,-84.25800323486328125,preview,EN,Independent,Neither Republican or Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05 16:04:01,2021-07-05 16:05:05,Survey Preview,,100,63,True,2021-07-05 16:05:06,R_0pU5dPXOkvgLIgV,,,,,33.748504638671875,-84.3871002197265625,preview,EN,Republican,,,,${e://Field/r_names_a},fs,,,,I understand. My candidate lost their primary.,,59,42,27,Somewhat Dissatisfied,A moderate amount,Neither likely nor unlikely,,,,I understand that this survey may not accurately represent candidates' positions or traits.,gd,,treatment_loss,"""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""",Unmarried,Unmarried,"""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""",Entrepeneur,Doctor,Tomas Ramos,John Eaves,Mathew Hepker,Randy Henderson,"We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.",Republican
2021-07-05 16:16:28,2021-07-05 16:17:09,Survey Preview,,100,41,True,2021-07-05 16:17:10,R_ONc1587dvj99hFn,,,,,33.748504638671875,-84.3871002197265625,preview,EN,Republican,,,,${e://Field/r_names_a},fs,,,Okay,,,65,67,50,Neither Satisfied nor Dissatisfied,A moderate amount,,,,,I understand that this survey may not accurately represent candidates' positions or traits.,,,control,"""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""",Unmarried,Married,"""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""More research should be done on the effects of marijuana. It is too early to legalize recreational marijuana without more study.""","""Police are the only thing standing between our communities and chaos. We must keep law enforcement strong.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""",Entrepeneur,Small Business Owner,Nabilah Islam,Andrew Terrell,Daniel Kowal,Daniel Kowal,"We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.",Republican
2021-07-05 16:17:13,2021-07-05 16:18:18,Survey Preview,,100,65,True,2021-07-05 16:18:19,R_RxF2FAUI39AZ4ml,,,,,33.748504638671875,-84.3871002197265625,preview,EN,Independent,Democratic,${e://Field/d_names_b},fs,,,,I understand. My candidate won their primary.,,,,64,60,65,Very Dissatisfied,A little,,,,Extremely likely,I understand that this survey may not accurately represent candidates' positions or traits.,,,treatment_win,"""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""",Married,Married,"""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police are the only thing standing between our communities and chaos. We must keep law enforcement strong.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""",Doctor,Doctor,Ruben Diaz,Julio Pabon,Renee Unterman,Daniel Kowal,"We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.",Democrat
2021-07-05 16:18:26,2021-07-05 16:18:56,Survey Preview,,100,30,True,2021-07-05 16:18:57,R_27EcR9bGCRcpWFh,,,,,33.748504638671875,-84.3871002197265625,preview,EN,Democrat,,${e://Field/d_names_a},te,,,I understand. My candidate lost their primary.,,,,,67,68,67,Very Dissatisfied,A lot,,,Somewhat unlikely,,I understand that this survey may not accurately represent candidates' positions or traits.,,,treatment_loss,"""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""",Unmarried,Unmarried,"""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police are the only thing standing between our communities and chaos. We must keep law enforcement strong.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""",Doctor,Small Business Owner,Samelys Lopez,Nathan Mathis,Jessica Taylor,Robert T. Schilling,"We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","The 2018 Trump tax cuts should be repealed, and taxes on the wealthiest Americans increased to 2016 levels.",Democrat
2021-07-05 16:19:57,2021-07-05 16:32:44,Survey Preview,,100,767,True,2021-07-05 16:32:46,R_1F398rB9rqGPrzI,,,,,33.748504638671875,-84.3871002197265625,preview,EN,Republican,,,,${e://Field/r_names_a},fs,,,,,I understand. My candidate won their primary.,73,74,71,Somewhat Dissatisfied,A great deal,,Somewhat likely,,,I understand that this survey may not accurately represent candidates' positions or traits.,,,treatment_win,"""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""I am personally against abortion, but the decision to restrict abortion should be made by state governments, not at the federal level""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""",Married,Married,"""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""","""More research should be done on the effects of marijuana. It is too early to legalize recreational marijuana without more study.""","""More research should be done on the effects of marijuana. It is too early to legalize recreational marijuana without more study.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police are the only thing standing between our communities and chaos. We must keep law enforcement strong.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""",High School Teacher,Community Organizer,Ollie Nelson,Andrew Terrell,Casey Askar,Terri Hasdorff,"The 2018 Trump tax cuts should be repealed, and taxes on the wealthiest Americans increased to 2016 levels.","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","""The Trump tax cuts were a good start but do not go far enough. We should cut taxes for Americans even further.""","We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.",Republican
2021-07-05 16:58:36,2021-07-05 17:02:50,IP Address,72.185.246.246,100,254,True,2021-07-05 17:02:50,R_2aSzGh7JhvVK51v,,,,,27.9481964111328125,-82.50360107421875,anonymous,EN,Democrat,,${e://Field/d_names_a},"Julio is a community organizer and offered more detailed responses than opponent. ",,,,I understand. My candidate won their primary.,,,,50,0,50,Somewhat Dissatisfied,A little,,,,Neither likely nor unlikely,I understand that this survey may not accurately represent candidates' positions or traits.,,,treatment_win,"""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Concerns about climate change are overblown. The earth's temperature has always been changing. We should not damage our economy to fix a problem that doesn't exist.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""",Unmarried,Unmarried,"""The Green New Deal goes too far. We should work with business leaders to find more realistic solutions to climate change.""","""More research should be done on the effects of marijuana. It is too early to legalize recreational marijuana without more study.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police are the only thing standing between our communities and chaos. We must keep law enforcement strong.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""",Community Organizer,Entrepeneur,Julio Pabon,Zarah Karinshak,Daniel Kowal,Dane Eagle,"The 2018 Trump tax cuts should be repealed, and taxes on the wealthiest Americans increased to 2016 levels.","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","We must repeal the Trump tax cuts, but that alone isn't enough. Taxes on wealthy individuals should be raised higher than 2016 levels and tax loopholes should be closed.",Democrat
2021-07-05 17:36:49,2021-07-05 17:53:41,IP Address,174.193.17.155,100,1012,True,2021-07-05 17:53:42,R_3prN0WpaE37xXrg,,,,,35.089202880859375,-80.81939697265625,anonymous,EN,Democrat,,${e://Field/d_names_a},I prefer her views on marijuana and policing.,,,,I understand. My candidate won their primary.,,,,70,35,50,Somewhat Satisfied,A lot,,,,Extremely likely,I understand that this survey may not accurately represent candidates' positions or traits.,,,treatment_win,"""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Unborn lives must be protected. Roe v. Wade should be overturned and abortion prohibited at the federal level.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""Climate change is a problem, but should be solved by working with businesses—not wrecking the economy.""","""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""",Unmarried,Married,"""The Green New Deal will create jobs and protect the environment. We should pass it immediately.""","""More research should be done on the effects of marijuana. It is too early to legalize recreational marijuana without more study.""","""Marijuana prohibition has gone on for too long. Recreational marijuana should be made legal immediately.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police perform a vital function in our society. We must ensure they are well funded and given the freedom to do their jobs effectively.""","""Police perform a vital function in our society. We should invest more money in police departments to provide additional training and less-lethal equipment to officers.""","""Too many innocent people have been killed by police. The only way to solve this is by cutting funding for departments and stripping officers of military-grade weapons.""",Lawyer,Doctor,Phyllis Harvey-Hall,Veronica Tessler,William Figlesthaler,Jeff Coleman,"The 2018 Trump tax cuts should be repealed, and taxes on the wealthiest Americans increased to 2016 levels.","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","""The 2018 Trump tax cuts are important to our nation's prosperity. They should be protected.""","The 2018 Trump tax cuts should be repealed, and taxes on the wealthiest Americans increased to 2016 levels.",Democrat
