VCF0004,VCF0301,VCF0303,VCF0305,VCF0311,VCF0312,VCF0803,VCF0218,VCF0224,VCF0723,VCF0503,VCF0504,VCF9265,VCF0806,VCF0809,VCF0839,VCF9049,VCF0834,VCF0838,VCF0876a,VCF0110,VCF0105a,VCF0113,VCF0310,VCF0130,VCF0050a,VCF0050b,VCF9255,VCF0729,VCF9036,VCF0104
1978,1,1,4,NA,2,6,80,50,1,5,2,NA,2,2,NA,NA,4,NA,NA,2,1,1,2,4,NA,4,NA,1,NA,2
1978,4,2,1,NA,2,9,50,50,1,NA,NA,NA,3,9,NA,NA,4,NA,NA,1,1,2,1,4,NA,3,NA,1,NA,1
1978,7,3,4,NA,2,4,40,60,1,2,4,NA,6,6,NA,NA,5,NA,NA,2,1,2,3,3,NA,2,NA,2,NA,2
1978,3,1,2,NA,1,4,60,60,2,4,3,NA,1,9,NA,NA,4,NA,NA,2,1,2,2,2,NA,4,NA,2,NA,1
1978,3,1,2,NA,1,9,85,60,1,NA,NA,NA,1,9,NA,NA,1,NA,NA,1,1,2,2,4,NA,3,NA,2,NA,1
1978,2,1,3,NA,1,5,50,50,1,5,4,NA,1,4,NA,NA,4,NA,NA,2,1,2,2,2,NA,3,NA,2,NA,2
1978,3,1,2,NA,1,1,70,40,1,2,5,NA,5,3,NA,NA,1,NA,NA,4,1,2,1,7,NA,2,NA,2,NA,1
1978,2,1,3,NA,1,9,NA,NA,2,NA,NA,NA,9,9,NA,NA,6,NA,NA,2,2,1,1,1,NA,5,NA,1,NA,2
1978,2,1,3,NA,1,5,60,60,1,2,6,NA,5,5,NA,NA,1,NA,NA,3,1,1,1,2,NA,2,NA,2,NA,1
1978,1,1,4,NA,2,6,NA,NA,2,6,6,NA,1,3,NA,NA,7,NA,NA,2,4,2,3,3,NA,2,NA,1,NA,2
1978,5,3,2,NA,2,9,NA,NA,2,NA,NA,NA,9,9,NA,NA,9,NA,NA,2,1,1,3,1,NA,4,NA,1,NA,2
1978,2,1,3,NA,2,6,70,40,1,6,2,NA,1,9,NA,NA,1,NA,NA,2,1,2,2,5,NA,2,NA,2,NA,1
1978,1,1,4,NA,2,2,85,85,2,2,3,NA,1,1,NA,NA,1,NA,NA,1,1,2,3,2,NA,3,NA,2,NA,2
1978,3,1,2,NA,2,4,75,65,1,3,6,NA,3,4,NA,NA,4,NA,NA,4,1,2,3,2,NA,4,NA,2,NA,2
1978,4,2,1,NA,1,9,50,50,1,NA,NA,NA,9,9,NA,NA,9,NA,NA,2,5,2,1,2,NA,5,NA,1,NA,2
1978,1,1,4,NA,2,1,97,0,2,1,7,NA,9,6,NA,NA,9,NA,NA,2,1,2,2,1,NA,2,NA,2,NA,1
1978,2,1,3,NA,1,5,60,0,3,1,7,NA,1,7,NA,NA,1,NA,NA,3,1,1,2,3,NA,2,NA,2,NA,1
1978,6,3,3,NA,2,4,30,70,1,NA,4,NA,1,5,NA,NA,6,NA,NA,3,1,1,2,2,NA,3,NA,2,NA,2
1978,6,3,3,NA,2,9,80,15,1,NA,NA,NA,9,7,NA,NA,9,NA,NA,2,2,1,1,4,NA,4,NA,1,NA,2
1978,1,1,4,NA,2,9,NA,NA,1,NA,NA,NA,7,9,NA,NA,7,NA,NA,1,1,2,1,4,NA,5,NA,1,NA,2
1978,2,1,3,NA,2,9,85,85,1,NA,NA,NA,4,9,NA,NA,4,NA,NA,2,1,2,2,1,NA,3,NA,1,NA,2
1978,5,3,2,NA,2,3,70,85,1,5,6,NA,3,5,NA,NA,2,NA,NA,2,1,2,1,5,NA,3,NA,1,NA,2
1978,7,3,4,NA,2,4,70,70,1,NA,NA,NA,4,4,NA,NA,4,NA,NA,3,1,2,3,1,NA,2,NA,2,NA,2
