RecordedDate,comments,party_id,lean_party,r_loss,r_win
Recorded Date,Please leave any comments you may have in the box below.,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent, or what?",Do you consider yourself closer to the Democratic or Republican party?,"Unfortunately, your selected candidate, [QID22-ChoiceGroup-SelectedChoices], lost the [QID1-ChoiceGroup-SelectedChoices] Party primary. 

Your candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices] will represent the Republican Party in the General Election.","Congratulations! Your selected candidate, [QID22-ChoiceGroup-SelectedChoices], won the Republican Party primary. 

Your candidate, [QID22-ChoiceGroup-SelectedChoices], will represent the Republican Party in the General Election."
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}"
2021-05-12 13:52:41,,3,3,,
2021-07-05 16:05:06,gd,1,,1,
2021-07-05 16:17:10,,1,,,
2021-07-05 16:18:19,,3,1,,
2021-07-05 16:18:57,,2,,,
2021-07-05 16:32:46,,1,,,1
2021-07-05 17:02:50,,2,,,
2021-07-05 17:53:42,,2,,,
2021-07-07 18:44:59,Hi rob! Check out the likert scale on the last page.,3,3,,
2021-07-08 07:04:43,,3,3,,
2021-08-18 13:07:50,,2,,,
2021-08-19 11:06:07,,1,,1,
2021-08-19 11:15:49,test,2,,,
2021-08-19 11:24:16,nice,2,,,
2021-08-19 11:40:04,good,1,,,
2021-08-19 11:50:04,I enjoyed the survey,2,,,
2021-08-19 11:55:31,survey is excellent of poitical party,2,,,
2021-08-19 11:56:56,none,2,,,
2021-08-19 12:10:35,good,3,3,,
2021-08-19 12:20:57,good,1,,,1
2021-08-19 12:29:39,nice,2,,,
2021-08-19 13:19:28,good,2,,,
2021-08-20 11:40:00,,3,3,,
2021-08-20 11:40:54,N/A,1,,,
2021-08-20 11:40:54,,2,,,
2021-08-20 11:41:19,,2,,,
2021-08-20 11:41:39,"Nothing ",2,,,
2021-08-20 11:41:42,none,2,,,
2021-08-20 11:41:45,,2,,,
2021-08-20 11:41:54,None,2,,,
2021-08-20 11:42:02,"GOOD ",2,,,
2021-08-20 11:42:10,No comments,1,,1,
2021-08-20 11:42:12,,1,,,
2021-08-20 11:42:17,good,1,,,
2021-08-20 11:42:20,no comments,2,,,
2021-08-20 11:42:21,,1,,,
2021-08-20 11:42:24,,2,,,
2021-08-20 11:42:26,AWESOME SURVEY,2,,,
2021-08-20 11:42:30,good,1,,1,
2021-08-20 11:42:37,,2,,,
2021-08-20 11:42:37,Interesting one,2,,,
2021-08-20 11:42:42,comfortable,2,,,
2021-08-20 11:42:43,good,1,,,1
2021-08-20 11:42:47,,2,,,
2021-08-20 11:42:51,nothing,1,,,
2021-08-20 11:42:57,good,1,,1,
2021-08-20 11:43:07,good,1,,,
2021-08-20 11:43:12,GOOD,1,,1,
