ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20110041763,20110041763,19991217,20000205,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110041792,20110041792,20000123,20000212,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110041793,20110041793,20000119,20000201,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110041795,20110041795,20000123,20000217,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110041797,20110041797,20000112,20000211,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110041804,20110041804,20000123,20000206,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110041820,20110041820,19991226,20000201,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110041864,20110041864,20000118,20000209,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20110041886,20110041886,20000121,20000209,NA,NA,NA,NA,NA,2,2,NA,1,NA
20110041892,20110041892,20000118,20000201,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110041906,20110041906,19991215,20000212,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110041923,20110041923,19991227,20000126,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110041928,20110041928,19991230,20000127,NA,NA,NA,NA,NA,1,2,NA,2,NA
20110041942,20110041942,19991226,20000201,NA,2,NA,NA,NA,NA,2,NA,1,NA
20110041945,20110041945,19991228,20000209,NA,1,NA,NA,NA,NA,1,NA,2,NA
20110041952,20110041952,20000120,20000131,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110041966,20110041966,20000123,20000128,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110041975,20110041975,20000118,20000211,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110041976,20110041976,20000120,20000127,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110041982,20110041982,20000119,20000201,3,NA,NA,3,NA,NA,3,NA,1,NA
20110041985,20110041985,20000119,20000212,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110042007,20110042007,19991227,20000213,NA,998,NA,NA,NA,2,999,NA,NA,NA
20110042059,20110042059,19991229,20000212,NA,1,NA,NA,NA,NA,2,NA,2,NA
20110042063,20110042063,19991229,20000210,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110042111,20110042111,20000118,20000129,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110042130,20110042130,19991220,20000212,2,NA,NA,NA,NA,NA,3,NA,2,NA
20110042132,20110042132,19991216,20000212,NA,1,NA,NA,NA,1,4,NA,NA,NA
20110042138,20110042138,20000105,20000212,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110042181,20110042181,19991222,20000126,6,NA,NA,NA,NA,NA,1,NA,2,NA
20110042218,20110042218,19991228,20000126,NA,2,NA,NA,NA,2,2,NA,1,NA
20110042237,20110042237,20000119,20000206,2,NA,NA,NA,NA,NA,2,NA,2,NA
20110042270,20110042270,20000120,20000209,2,NA,NA,NA,NA,NA,1,NA,2,NA
20110042271,20110042271,20000122,20000201,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110042312,20110042312,19991223,20000126,2,NA,NA,2,NA,NA,1,NA,1,NA
20110042323,20110042323,20000103,20000128,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110042329,20110042329,19991228,20000127,NA,1,NA,NA,NA,NA,2,NA,1,NA
20110042344,20110042344,20000120,20000210,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20110042374,20110042374,20000119,20000210,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110042403,20110042403,19991222,20000130,998,NA,NA,NA,NA,NA,1,NA,2,NA
20110042426,20110042426,19991215,20000204,NA,2,NA,NA,NA,2,2,NA,1,NA
20110042428,20110042428,19991216,20000127,2,NA,NA,2,NA,NA,1,NA,1,NA
20110042439,20110042439,20000122,20000128,2,NA,NA,999,NA,NA,1,NA,1,NA
20110042445,20110042445,19991222,20000126,2,NA,NA,2,NA,NA,1,NA,1,NA
20110042455,20110042455,20000121,20000126,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20110042461,20110042461,20000120,20000213,2,NA,NA,NA,NA,NA,3,NA,2,NA
