rkey,date_c,date_r,ma01_c,ma01r4v_c,ma01_r,ma01r4v_r,mb01_c,mb02_c,mb02_r,rba01_c,rba01r9v_c,rba02_c,rba02r9v_c
10600655,20080825,20081109,2,,2,,3,3,4,NA,,NA,
10600989,20080810,20081107,2,,2,,2,4,4,NA,,NA,
10601758,20080810,20081108,2,,2,,4,3,2,NA,,NA,
10602080,20080811,20081108,1,,4,Federalist,3,1,4,NA,,NA,
10602151,20080812,20081105,1,,1,,3,1,1,NA,,NA,
10602170,20080813,20081106,2,,3,,4,1,4,NA,,NA,
10602409,20080825,20081107,3,,3,,3,4,4,NA,,NA,
10602922,20080817,20081108,2,,3,,3,1,1,NA,,NA,
10603203,20080811,20081106,2,,2,,3,4,4,NA,,NA,
10603781,20080813,20081106,2,,2,,3,1,1,NA,,NA,
10603805,20080808,20081105,2,,3,,3,4,2,NA,,NA,
10603893,20080815,20081110,2,,4,,3,3,4,NA,,NA,
10603918,20080816,20081109,1,,1,,3,2,3,NA,,NA,
10603949,20080810,20081105,2,,2,,4,1,1,NA,,NA,
10604071,20080814,20081108,2,,2,,4,2,2,NA,,NA,
10604082,20080815,20081105,3,,3,,3,2,2,NA,,NA,
10604509,20080810,20081107,3,,3,,4,4,4,NA,,NA,
10604711,20080817,20081105,3,,3,,3,4,1,NA,,NA,
10604717,20080810,20081108,2,,2,,3,3,3,NA,,NA,
10604765,20080808,20081105,1,,1,,3,3,3,NA,,NA,
10604916,20080817,20081105,3,,3,,3,4,4,NA,,NA,
10604959,20080808,20081105,1,,3,,3,3,2,NA,,NA,
10605053,20080817,20081109,1,,1,,3,2,4,NA,,NA,
10605102,20080812,20081106,2,,2,,3,4,4,NA,,NA,
10605235,20080815,20081106,1,,1,,3,4,4,NA,,NA,
10605375,20080829,20081109,2,,2,,3,4,4,NA,,NA,
10606399,20080809,20081108,1,,1,,3,2,1,NA,,NA,
10606495,20080815,20081109,3,,3,,3,1,1,NA,,NA,
10606857,20080812,20081109,1,,4,vote for person,4,4,4,NA,,NA,
