case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
2016_1,29,Male,White,13,0.827,Didn't Vote,NA,99,5,1,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016
2016_2,26,Male,White,17,1.0806,Didn't Vote,NA,5,6,2,15,85,Republican,0,85,15,0,NA,Didn't Vote,2016
2016_3,23,Male,White,6,0.3878,Didn't Vote,NA,99,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
2016_4,58,Male,White,20,0.3596,Didn't Vote,NA,99,5,2,30,70,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
2016_5,38,Female,White,3,0.647,Didn't Vote,NA,4,6,2,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
2016_6,60,Male,White,1,0.7062,Didn't Vote,NA,6,6,1,15,30,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
2016_7,58,Male,Black,22,3.9604,Hillary Clinton,1,99,-8,4,85,15,Democrat,0,85,15,1,Democrat,Winner,2016
2016_8,56,Female,White,28,0.962,Donald Trump,1,5,7,1,0,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
2016_9,45,Male,Other,12,0.9761,Didn't Vote,NA,4,6,1,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
2016_10,30,Female,White,19,0.6182,Didn't Vote,NA,3,5,5,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
2016_11,40,Female,White,11,2.146,Didn't Vote,NA,99,4,-8,0,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016
2016_12,86,Female,White,14,0.5548,Didn't Vote,NA,2,7,2,85,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
2016_13,30,Male,Other,24,0.919,Didn't Vote,NA,4,5,1,40,70,Other,0,NA,NA,0,NA,Didn't Vote,2016
2016_14,67,Male,White,14,1.166,Bernie Sanders,1,99,6,2,15,50,Democrat,0,15,50,1,Democrat,Loser,2016
2016_15,62,Female,White,10,0.335,Hillary Clinton,1,2,7,3,85,30,Democrat,1,85,30,1,Democrat,Winner,2016
2016_16,51,Male,White,3,1.05,Didn't Vote,NA,99,-8,-8,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016
2016_17,46,Male,Other,27,0.8084,Hillary Clinton,1,2,7,3,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
2016_18,70,Male,White,16,0.2423,Didn't Vote,NA,6,6,2,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016
2016_19,30,Female,White,26,1.7603,Hillary Clinton,1,3,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
2016_20,67,Female,White,22,1.3938,Bernie Sanders,1,99,4,2,40,60,Republican,0,60,40,1,Democrat,Voted in Other Party Primary,2016
2016_21,66,Female,White,20,0.8591,Ted Cruz,1,5,6,1,15,70,Republican,0,70,15,1,Republican,Loser,2016
2016_22,32,Female,White,3,0.5387,Didn't Vote,NA,3,6,2,40,80,Republican,1,80,40,0,NA,Didn't Vote,2016
2016_23,56,Female,White,NA,2.7749,John Kasich,1,99,6,3,50,15,No Preference,NA,NA,NA,1,Republcian,Voted in Other Party Primary,2016
2016_24,65,Female,White,15,0.5215,Didn't Vote,NA,6,5,3,40,60,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
2016_25,61,Male,Other,13,1.0294,Didn't Vote,NA,7,4,1,15,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
2016_26,34,Male,Other,9,0.8431,Didn't Vote,NA,99,-8,-8,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
2016_27,68,Other/Refused,White,NA,0.2153,Didn't Vote,NA,2,5,-8,50,60,Independent,NA,NA,NA,0,NA,Didn't Vote,2016
2016_28,25,Female,White,17,0.9996,Didn't Vote,NA,99,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
