case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_200015,Strong Republican,0,85,6,1,5,Voted,8,4,5,0,1,1,3,46,Other,0.962809123332029,2020-08-27,21,Male,7,Republican,0,85,1,Donald Trump,Republican,1,Never,1,1,42.5,85,0,2020,warm,0,Winner,0
2020_200022,Independent - Independent,0,50,4,3,6,Voted,10,4,5,1,1,1,1,37,Other,1.06908509305444,2020-09-23,13,Female,4,Independent,0,50,1,Someone Neither Dem. Nor Rep.,Other Party,1,Never,1,1,25,NA,NA,2020,NA,1,Voted in Other Primary,0
2020_200039,Independent - Democrat,60,0,2,3,7,Voted,6,4,4,1,1,3,1,40,White,0.683420884657796,2020-08-18,17,Female,3,Democrat,60,0,1,Elizabeth Warren,Democrat,1,Some of the Time,1,0,30,60,0,2020,NA,1,Loser,0
2020_200046,Weak Republican,50,70,3,3,4,Didn't Vote,NA,2,3,1,1,4,3,41,Other,0.50095304838357,2020-10-12,7,Male,6,Republican,50,70,0,NA,NA,0,About Half the time,0,0,60,70,50,2020,warm,0,Didn't Vote,0
2020_200053,Independent - Independent,20,70,5,1,5,Voted,8,4,5,1,1,2,1,72,Other,1.2622939838968,2020-08-19,22,Male,4,Independent,20,70,1,Donald Trump,Republican,1,Never,1,1,45,NA,NA,2020,NA,1,Voted in Other Primary,0
2020_200060,Independent - Democrat,85,15,4,3,7,Didn't Vote,NA,2,4,1,1,2,1,71,White,0.269029682335973,2020-09-05,3,Female,3,Democrat,85,15,0,NA,NA,0,Some of the Time,1,1,50,85,15,2020,warm,1,Didn't Vote,1
2020_200084,Weak Republican,15,75,4,4,4,Didn't Vote,NA,5,4,1,1,1,1,37,White,0.449004973607306,2020-08-19,4,Female,6,Republican,15,75,0,NA,NA,1,Some of the Time,1,1,45,75,15,2020,warm,1,Didn't Vote,1
2020_200091,Weak Republican,50,100,99,5,5,Didn't Vote,NA,5,1,0,0,1,3,45,White,0.616581490032329,2020-09-08,3,Female,6,Republican,50,100,0,NA,NA,1,Always,0,1,75,100,50,2020,warm,0,Didn't Vote,1
2020_200107,Independent - Independent,-9,-9,99,3,5,Didn't Vote,NA,2,3,1,1,3,1,70,White,1.42627006696408,2020-10-27,10,Female,4,Independent,NA,NA,0,NA,NA,0,About Half the time,0,0,-9,NA,NA,2020,NA,1,Didn't Vote,0
2020_200114,Weak Democrat,60,50,99,4,7,Didn't Vote,NA,2,3,0,1,2,2,43,Other,2.22490975528077,2020-09-14,11,Male,2,Democrat,60,50,0,NA,NA,0,About Half the time,0,1,55,60,50,2020,NA,0,Didn't Vote,0
2020_200121,Strong Democrat,100,0,99,4,1,Didn't Vote,NA,4,2,1,1,1,1,37,Other,1.57163244385629,2020-08-18,9,Female,1,Democrat,100,0,0,NA,NA,1,Most of the Time,0,1,50,100,0,2020,warm,1,Didn't Vote,0
