StartDate,party_id,lean_party,d_loss,d_win,r_loss,r_win,control,therm_dem,therm_rep,therm_ind,satisfied_democracy,trust_gov,r_gen_vote_loss,r_gen_vote_win_con,d_gen_vote_loss,d_gen_vote_win_con,comments,pid_3,loss_dum,win_dum,control_dum,loss_dum_nc,group,date,therm_inparty,therm_outparty,vote_likely
2021-08-19 11:04:09,Republican,NA,NA,NA,I understand. My candidate lost their primary.,NA,NA,52,57,51,Neither Satisfied nor Dissatisfied,A moderate amount,Somewhat likely,NA,NA,NA,NA,Republican,1,0,0,1,Loss,2021-08-19T11:04:09Z,57,52,Somewhat likely
2021-08-19 11:14:54,Democrat,NA,NA,NA,NA,NA,Okay,51,51,51,NA,NA,NA,NA,NA,Extremely likely,test,Democrat,0,0,1,NA,Control,2021-08-19T11:14:54Z,51,51,NA
2021-08-19 11:23:13,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,79,80,73,Somewhat Satisfied,A lot,NA,NA,NA,Somewhat likely,nice,Democrat,0,1,0,0,Win,2021-08-19T11:23:13Z,79,80,Somewhat likely
2021-08-19 11:36:48,Republican,NA,NA,NA,NA,NA,Okay,72,82,64,NA,NA,NA,Somewhat likely,NA,NA,good,Republican,0,0,1,NA,Control,2021-08-19T11:36:48Z,82,72,NA
2021-08-19 11:45:11,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,85,66,67,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,I enjoyed the survey,Democrat,0,1,0,0,Win,2021-08-19T11:45:11Z,85,66,Extremely likely
2021-08-19 11:51:53,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,100,24,75,Very Satisfied,A great deal,NA,NA,Extremely likely,NA,survey is excellent of poitical party,Democrat,1,0,0,1,Loss,2021-08-19T11:51:53Z,100,24,Extremely likely
2021-08-19 11:54:23,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,86,55,62,Very Satisfied,A great deal,NA,NA,NA,Somewhat likely,none,Democrat,0,1,0,0,Win,2021-08-19T11:54:23Z,86,55,Somewhat likely
2021-08-19 12:08:19,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,95,78,100,Somewhat Satisfied,A moderate amount,NA,NA,NA,NA,good,Independent,0,0,0,0,NA,2021-08-19T12:08:19Z,NA,NA,NA
2021-08-19 12:19:57,Republican,NA,NA,NA,NA,I understand. My candidate won their primary.,NA,69,80,77,Somewhat Satisfied,A lot,NA,Somewhat likely,NA,NA,good,Republican,0,1,0,0,Win,2021-08-19T12:19:57Z,80,69,NA
2021-08-19 12:24:59,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,74,65,67,Somewhat Satisfied,A moderate amount,NA,NA,Somewhat likely,NA,nice,Democrat,1,0,0,1,Loss,2021-08-19T12:24:59Z,74,65,Somewhat likely
2021-08-19 13:17:23,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,78,75,82,Very Satisfied,A great deal,NA,NA,NA,Extremely likely,good,Democrat,0,1,0,0,Win,2021-08-19T13:17:23Z,78,75,Extremely likely
2021-08-20 11:39:20,Independent,Neither Republican or Democrat,NA,NA,NA,NA,NA,0,0,75,Somewhat Dissatisfied,A little,NA,NA,NA,NA,NA,Independent,0,0,0,0,NA,2021-08-20T11:39:20Z,NA,NA,NA
2021-08-20 11:39:25,Republican,NA,NA,NA,NA,NA,Okay,12,70,23,NA,NA,NA,Somewhat likely,NA,NA,N/A,Republican,0,0,1,NA,Control,2021-08-20T11:39:25Z,70,12,NA
2021-08-20 11:39:42,Democrat,NA,NA,I understand. My candidate won their primary.,NA,NA,NA,79,75,95,Neither Satisfied nor Dissatisfied,A great deal,NA,NA,NA,Somewhat likely,NA,Democrat,0,1,0,0,Win,2021-08-20T11:39:42Z,79,75,Somewhat likely
2021-08-20 11:40:05,Democrat,NA,NA,NA,NA,NA,Okay,100,55,65,NA,NA,NA,NA,NA,Extremely likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T11:40:05Z,100,55,NA
2021-08-20 11:39:47,Democrat,NA,NA,NA,NA,NA,Okay,100,69,61,NA,NA,NA,NA,NA,Extremely likely,Nothing,Democrat,0,0,1,NA,Control,2021-08-20T11:39:47Z,100,69,NA
2021-08-20 11:40:22,Democrat,NA,I understand. My candidate lost their primary.,NA,NA,NA,NA,97,78,69,Very Satisfied,A great deal,NA,NA,Somewhat likely,NA,none,Democrat,1,0,0,1,Loss,2021-08-20T11:40:22Z,97,78,Somewhat likely
2021-08-20 11:39:56,Democrat,NA,NA,NA,NA,NA,Okay,89,67,65,NA,NA,NA,NA,NA,Somewhat likely,NA,Democrat,0,0,1,NA,Control,2021-08-20T11:39:56Z,89,67,NA
