case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2016_1,29,Male,White,13,0.827,Didn't Vote,NA,NA,5,1,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016,5,1,NA,NA,4,1,NA,NA,0.3333333333333333,0.6666666666666666,NA,1,1
2016_2,26,Male,White,17,1.0806,Didn't Vote,NA,5,6,2,15,85,Republican,0,85,15,0,NA,Didn't Vote,2016,6,2,-1,3,4,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,1,1
2016_3,23,Male,White,6,0.3878,Didn't Vote,NA,NA,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
2016_4,58,Male,White,20,0.3596,Didn't Vote,NA,NA,5,2,30,70,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1
2016_5,38,Female,White,3,0.647,Didn't Vote,NA,4,6,2,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2016_6,60,Male,White,1,0.7062,Didn't Vote,NA,6,6,1,15,30,NA,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,0.6666666666666666,NA,NA,NA,NA,1,1
2016_7,58,Male,Black,22,3.9604,Hillary Clinton,1,NA,NA,4,85,15,Democrat,0,85,15,1,Democrat,Winner,2016,4,NA,NA,NA,NA,4,NA,NA,0,0.5,NA,1,0
2016_8,56,Female,White,28,0.962,Donald Trump,1,5,7,1,0,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,3,0.3333333333333333,NA,NA,NA,NA,0,1
2016_9,45,Male,Other,12,0.9761,Didn't Vote,NA,4,6,1,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,0
2016_10,30,Female,White,19,0.6182,Didn't Vote,NA,3,5,5,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,0,1
2016_11,40,Female,White,11,2.146,Didn't Vote,NA,NA,4,NA,0,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1
2016_12,86,Female,White,14,0.5548,Didn't Vote,NA,2,7,2,85,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,-0.6666666666666666,NA,NA,NA,NA,0,1
2016_13,30,Male,Other,24,0.919,Didn't Vote,NA,4,5,1,40,70,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,0
2016_14,67,Male,White,14,1.166,Bernie Sanders,1,NA,6,2,15,50,Democrat,0,15,50,1,Democrat,Loser,2016,2,6,NA,NA,4,5,NA,NA,-0.6666666666666666,0.8333333333333333,NA,1,1
2016_15,62,Female,White,10,0.335,Hillary Clinton,1,2,7,3,85,30,Democrat,1,85,30,1,Democrat,Winner,2016,3,7,-1,-5,4,4,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,0,1
2016_16,51,Male,White,3,1.05,Didn't Vote,NA,NA,NA,NA,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2016_17,46,Male,Other,27,0.8084,Hillary Clinton,1,2,7,3,70,15,Democrat,0,70,15,1,Democrat,Winner,2016,3,7,-1,-5,4,3,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,1,0
2016_18,70,Male,White,16,0.2423,Didn't Vote,NA,6,6,2,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016,6,2,0,4,4,5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,1,1
2016_19,30,Female,White,26,1.7603,Hillary Clinton,1,3,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016,2,6,1,-3,4,1,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
